stop_id,hour,day_of_week,avg_occupancy,trip_count,latitude,longitude,is_weekend,is_rush_hour,demand_score
S10,7,6,0.8,1,5.679288244337456,-0.3513963703691922,1,1,16.0
S10,8,4,0.5,1,5.678208616453277,-0.35124073493873964,0,1,10.0
S10,12,1,0.5,1,5.6783193703834325,-0.35114851656006957,0,0,10.0
S10,14,6,0.2,1,5.677379853823004,-0.3487131237192001,1,0,4.0
S10,15,0,0.8,1,5.678380426153535,-0.3505483446267734,0,0,16.0
S10,21,5,1.0,1,5.679989070478791,-0.3495788179059614,1,0,20.0
S10,22,2,0.8,1,5.677547157946413,-0.3482995369006978,0,0,16.0
S100,6,1,0.8,1,5.537953625610699,-0.4011985907614307,0,0,16.0
S100,9,4,0.5,2,5.537803265328109,-0.3992811266770168,0,1,20.0
S100,10,1,0.2,1,5.539710305411335,-0.39758530553997246,0,0,4.0
S100,12,0,0.75,2,5.538099675724213,-0.39983756423777,0,0,30.0
S100,12,2,0.2,1,5.538632675549946,-0.401649012107622,0,0,4.0
S100,12,4,0.2,1,5.538104757653155,-0.39883945804012927,0,0,4.0
S100,13,3,1.0,1,5.539347038686529,-0.39993321147700306,0,0,20.0
S100,14,0,0.5,1,5.536977340833219,-0.4001230218179622,0,0,10.0
S100,14,3,0.5,1,5.539093609456748,-0.3992781208848064,0,0,10.0
S100,14,5,0.8,1,5.537946294414423,-0.4013984628688336,1,0,16.0
S100,16,6,0.5,1,5.537756873830713,-0.40122134105749485,1,0,10.0
S100,19,4,0.2,1,5.53599451793093,-0.4000843879348036,0,1,4.0
S100,21,4,0.8,1,5.538528986953464,-0.39978277823856584,0,0,16.0
S1000,5,4,0.2,1,5.534991575314228,-0.2363859952247821,0,0,4.0
S1000,6,1,0.8,1,5.533444241499117,-0.23661267767612315,0,0,16.0
S1000,6,5,0.5,1,5.534292836277535,-0.23456436901055475,1,0,10.0
S1000,8,4,0.8,1,5.535818194389113,-0.23524788175997782,0,1,16.0
S1000,8,5,0.5,1,5.5353010580860955,-0.23517411481064676,1,1,10.0
S1000,8,6,0.5,1,5.535897353394988,-0.23441127258576477,1,1,10.0
S1000,9,0,0.5,1,5.535434802786142,-0.2352750903753815,0,1,10.0
S1000,9,1,0.2,2,5.5340059734114835,-0.23513653603933604,0,1,8.0
S1000,9,2,0.5,1,5.533700631663268,-0.23582495609517234,0,1,10.0
